Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,type
0.0,0.0,1.649354052,1.649354052,0.0,0.824693815,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,0.0,1.649354052,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,0.0,5.772827274,0.0,26.39050251,13.19384309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,0.0,2.47408148,0.0,0.0,0.0,0.0,50.30976198,0.0,4.948123813,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.025115972,0.0,0.031561203,0.027509865,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.286737624,0.028037602,0.003393076,0.0,ODImmature2
0.0,0.0,11.27156635,0.0,0.0,22.54507076,0.0,0.0,0.0,0.0,5.636055354,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,11.27156635,16.91018204,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002849356,0.003473944,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.007887595,0.490390247,0.0,0.0,ODImmature2
0.0,0.0,0.85494057,3.419773361,0.0,0.85494057,9.403991771,30.77605657,0.0,0.0,2.56475757,1.709879628,0.85494057,0.0,14.53459731,0.0,5.984575239,0.0,1.709879628,1.709879628,8.549266197,0.0,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,15.38702061,0.85494057,0.0,0.0,0.85494057,2.56475757,0.0,0.0,0.0,0.0,1.709879628,0.0,0.0,0.0,0.85494057,7.694407673,0.0,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,7.694407673,0.0,0.85494057,0.0,4.274605703,6.839529524,7.694407673,0.0,0.85494057,0.0,0.0,0.85494057,0.0,0.85494057,0.85494057,0.85494057,6.839529524,1.709879628,0.0,0.85494057,6.839529524,0.0,0.85494057,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.0,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,7.694407673,27.3595934,2.56475757,0.0,0.85494057,0.0,5.984575239,0.0,0.85494057,0.0,1.709879628,1.709879628,0.0,0.0,0.0,6.839529524,0.0,1.709879628,0.85494057,0.0,20.5179057,0.0,0.0,0.0,0.0,1.709879628,0.0,5.984575239,0.85494057,0.0,0.0,6.839529524,0.85494057,0.0,0.0,0.0,1.709879628,3.419773361,0.0,0.0,0.85494057,0.011601815,0.0,0.0,0.020496924,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.344528462,0.0,0.07065118,0.019910117,0.105938559,0.0,0.0,0.0,ODImmature2
0.0,0.0,23.12681533,0.0,0.0,37.01018646,0.0,4.625873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,32.38105052,4.625873984,18.5029362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87647374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,0.0,0.0,55.50670713,0.0,0.0,9.251797048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87647374,0.0,0.0,0.0,0.0,0.0,9.251797048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12681533,0.0,0.014893334,0.035127866,0.059846573,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,0.899503071,0.013323,0.00895826,0.010417362,0.0,0.00943649,0.021645908,0.0,ODImmature2
0.0,1.932715942,0.0,7.730718787,0.0,1.932715942,3.865416235,3.865416235,0.0,0.0,0.0,0.0,1.932715942,0.0,0.0,0.0,1.932715942,0.0,0.0,3.865416235,0.0,0.0,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,0.0,0.0,0.0,0.0,36.72245942,3.865416235,1.932715942,1.932715942,0.0,3.865416235,0.0,0.0,0.0,17.3950088,1.932715942,0.0,0.0,0.0,0.0,1.932715942,0.0,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,1.932715942,0.0,0.0,0.0,1.932715942,0.0,21.25871045,0.0,3.865416235,1.932715942,0.0,0.0,0.0,0.0,0.0,0.0,9.663505567,1.932715942,0.0,0.0,1.932715942,9.663505567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932715942,0.0,0.0,0.0,11.59505302,0.0,19.32825032,7.730718787,59.91159895,5.79813837,0.0,1.932715942,0.0,0.0,0.0,3.865416235,0.0,3.865416235,1.932715942,0.0,0.0,0.0,5.79813837,0.0,0.0,1.932715942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79813837,7.730718787,0.0,3.865416235,0.0,1.932715942,3.865416235,0.0,3.865416235,0.0,3.865416235,7.730718787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.151001793,0.0,0.006120041,0.002926485,0.0,0.0,0.001931591,0.0,ODImmature2
0.0,0.0,0.0,13.17751123,0.0,0.0,32.94689054,6.588920443,6.588920443,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,19.76825464,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,13.17751123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,6.588920443,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.588920443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003342711,0.0,0.009165047,0.0,0.028845115,0.164144793,0.0,0.0,0.0,0.552065338,0.0,0.0,0.0,0.0,0.046885055,0.159781028,0.0,0.0,0.0,ODImmature2
0.0,0.0,12.40911144,2.481929712,0.0,12.40911144,0.0,12.40911144,0.0,0.0,0.0,0.0,2.481929712,0.0,0.0,0.0,17.37384295,2.481929712,2.481929712,4.963757833,0.0,0.0,2.481929712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8927847,9.926976272,0.0,0.0,0.0,17.37384295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481929712,4.963757833,0.0,0.0,2.481929712,0.0,0.0,0.0,2.481929712,0.0,0.0,0.0,0.0,0.0,0.0,2.481929712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44578458,0.0,4.963757833,39.70989667,0.0,0.0,2.481929712,0.0,7.44578458,0.0,0.0,0.0,2.481929712,0.0,0.0,0.0,7.44578458,0.0,0.0,2.481929712,17.37384295,0.0,4.963757833,4.963757833,0.0,0.0,0.0,2.481929712,4.963757833,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,0.0,4.963757833,0.0,0.0,0.0,2.481929712,9.926976272,0.0,0.0,0.0,4.963757833,2.481929712,0.0,0.0,0.0,0.0,2.481929712,2.481929712,0.0,0.0,0.0,2.481929712,0.0,0.0,0.0,0.0,2.481929712,0.0,0.0,0.040435112,0.0,0.0,0.0,0.307645429,0.0,0.0,0.0,0.0,0.0,0.0,0.000440259,0.0,0.091837484,0.127078071,0.516002788,0.026199976,0.0,ODImmature2
0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,1.781762191,1.781762191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,3.563415361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84977672,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,7.126995139,1.781762191,0.0,0.0,1.781762191,0.0,0.0,33.84977672,0.0,1.781762191,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,3.563415361,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,0.0,3.563415361,0.0,1.781762191,99.78595144,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,5.345122338,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,58.79983697,0.0,0.090031378,0.020996375,0.03241665,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.774066928,0.0,0.109059893,0.004172908,0.013068706,0.0,0.007626545,0.0,ODMature3
0.0,0.0,0.0,1.307597182,0.0,1.961419965,0.653826704,0.653826704,0.653826704,0.0,0.653826704,0.653826704,0.653826704,0.0,0.0,1.307597182,4.576606492,0.653826704,0.653826704,1.307597182,0.653826704,1.961419965,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,7.192001063,0.0,0.0,0.0,0.0,0.653826704,0.0,0.0,22.8836116,0.0,0.653826704,0.653826704,0.0,0.0,0.0,0.653826704,2.615263862,0.0,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,4.576606492,0.0,0.0,0.653826704,3.922888507,1.961419965,0.0,0.0,0.653826704,0.0,0.653826704,0.0,0.0,3.269037797,2.615263862,0.653826704,0.0,1.307597182,0.653826704,0.0,23.53578741,0.653826704,0.653826704,0.0,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,9.806871811,1.307597182,0.0,2.615263862,0.0,2.615263862,1.307597182,0.0,0.653826704,11.76732754,0.0,0.0,0.0,0.0,1.307597182,0.653826704,0.0,0.0,0.0,0.653826704,7.192001063,7.192001063,1.307597182,0.653826704,33.9945167,0.0,1.961419965,0.0,0.0,0.0,0.0,0.653826704,0.0,7.192001063,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,0.0,1.307597182,0.0,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.0,0.015641177,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.716405905,0.0,0.083639931,0.0,0.0,0.0,0.0,0.014299006,ODMature3
0.0,0.0,8.205343522,5.470234187,0.0,2.735080789,0.0,2.735080789,0.0,8.205343522,0.0,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,21.88231712,2.735080789,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,10.93988104,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,2.735080789,0.0,0.0,0.0,8.205343522,0.0,8.205343522,0.0,2.735080789,0.0,2.735080789,0.0,2.735080789,8.205343522,0.0,0.0,0.0,13.67573969,0.0,0.0,38.29162586,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,2.735080789,0.0,0.0,0.0,0.0,13.67573969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,76.58897239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.735080789,8.205343522,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,27.35306412,0.0,0.01019799,0.0,0.032825614,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.412514876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ODMature3
0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,4.16856521,0.0,0.0,2.084324048,0.0,0.0,0.0,2.084324048,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,10.42089135,0.0,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,12.50516828,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,2.084324048,0.0,0.0,0.0,2.084324048,2.084324048,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,12.50516828,0.0,0.0,0.0,0.0,0.0,0.0,22.92764739,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,4.16856521,0.0,0.0,0.0,0.0,4.16856521,0.0,0.0,2.084324048,0.0,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,83.37232172,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,4.16856521,0.0,2.084324048,0.0,0.0,25.01357257,0.0,0.0,0.0,0.02127735,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,0.819952277,0.093054962,0.019073715,0.004065165,0.0,0.0,0.0,0.0,ODMature3
0.0,0.0,1.24099042,1.24099042,0.0,0.0,1.24099042,3.722913592,2.481929712,0.0,1.24099042,0.0,0.0,0.0,1.24099042,2.481929712,4.963895155,0.0,0.0,0.0,3.722913592,0.0,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,4.963895155,1.24099042,0.0,0.0,0.0,6.204767988,1.24099042,0.0,31.02580095,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,2.481929712,4.963895155,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,6.204767988,0.0,0.0,0.0,2.481929712,2.481929712,13.65210425,0.0,1.24099042,0.0,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,6.204767988,0.0,0.0,40.95657223,1.24099042,7.44578458,0.0,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,7.44578458,1.24099042,0.0,1.24099042,0.0,11.16746204,0.0,0.0,0.0,3.722913592,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44578458,0.0,0.0,65.77286335,0.0,1.24099042,1.24099042,0.0,0.0,0.0,0.0,0.0,17.37384295,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,0.0,1.24099042,1.24099042,0.0,0.0,31.02580095,0.0,0.027519328,0.022148275,0.02471006,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.213835962,0.0,0.011446929,0.018213381,0.0,0.041091738,0.0206022,0.013707828,ODMature3
0.0,0.0,2.913542009,0.0,0.0,2.913542009,0.0,0.0,0.0,0.0,0.0,2.913542009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456744543,0.0,0.0,1.456744543,0.0,0.0,1.456744543,0.0,1.456744543,0.0,1.456744543,0.0,0.0,1.456744543,0.0,1.456744543,0.0,0.0,0.0,0.0,0.0,13.11237148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19695673,0.0,1.456744543,2.913542009,0.0,0.0,24.76321157,0.0,4.370317964,0.0,0.0,0.0,4.370317964,0.0,1.456744543,0.0,0.0,1.456744543,0.0,0.0,0.0,5.827001527,0.0,0.0,0.0,2.913542009,0.0,0.0,20.39439452,0.0,0.0,0.0,0.0,0.0,0.0,4.370317964,0.0,0.0,1.456744543,18.93884513,0.0,0.0,1.456744543,0.0,1.456744543,0.0,0.0,0.0,7.283807535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65318914,0.0,0.0,93.23234526,0.0,0.0,0.0,0.0,0.0,0.0,1.456744543,0.0,2.913542009,0.0,0.0,0.0,2.913542009,0.0,1.456744543,0.0,0.0,0.0,1.456744543,0.0,0.0,37.87764949,0.0,0.057986193,0.00605564,0.040253055,0.0,0.05625554,1.392764739,0.072805521,0.0,0.021129211,0.0,0.0,0.725798154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ODMature3
